,Rank,Title,Worldwide Lifetime Gross,Domestic Lifetime Gross,Domestic %,Foreign Lifetime Gross,Foreign %,Year
793,794,The Sorcerer's Apprentice,"$215,283,742","$63,150,991",29.3%,"$152,132,751",70.7%,2010
794,795,Just Go with It,"$214,945,591","$103,028,109",47.9%,"$111,917,482",52.1%,2011
795,796,The Expendables 3,"$214,657,577","$39,322,544",18.3%,"$175,335,033",81.7%,2014
796,797,Dirty Dancing,"$214,577,242","$64,577,242",30.1%,"$150,000,000",69.9%,1987
797,798,Creed II,"$214,215,889","$115,715,889",54%,"$98,500,000",46%,2018
798,799,Smallfoot,"$214,115,531","$83,315,531",38.9%,"$130,800,000",61.1%,2018
799,800,Public Enemies,"$214,104,620","$97,104,620",45.4%,"$117,000,000",54.6%,2009
800,801,The Bourne Identity,"$214,034,224","$121,661,683",56.8%,"$92,372,541",43.2%,2002
801,802,Disclosure,"$214,015,089","$83,015,089",38.8%,"$131,000,000",61.2%,1994
802,803,Pulp Fiction,"$213,928,762","$107,928,762",50.4%,"$106,000,000",49.6%,1994
803,804,"Crouching Tiger, Hidden Dragon","$213,897,947","$128,451,083",60%,"$85,446,864",40%,2000
804,805,The Aviator,"$213,719,942","$102,610,330",48%,"$111,109,612",52%,2004
805,806,Braveheart,"$213,216,216","$75,609,945",35.5%,"$137,606,271",64.5%,1995
806,807,Into the Woods,"$212,902,372","$128,002,372",60.1%,"$84,900,000",39.9%,2014
807,808,Bedtime Stories,"$212,874,864","$110,101,975",51.7%,"$102,772,889",48.3%,2008
808,809,Miss Congeniality,"$212,742,720","$106,807,667",50.2%,"$105,935,053",49.8%,2000
809,810,Entrapment,"$212,404,396","$87,704,396",41.3%,"$124,700,000",58.7%,1999
810,811,Ace Ventura: When Nature Calls,"$212,385,533","$108,385,533",51%,"$104,000,000",49%,1995
811,812,End of Days,"$211,989,043","$66,889,043",31.6%,"$145,100,000",68.4%,1999
812,813,Bridget Jones's Baby,"$211,952,420","$24,252,420",11.4%,"$187,700,000",88.6%,2016
813,814,Fury,"$211,822,697","$85,817,906",40.5%,"$126,004,791",59.5%,2014
814,815,Battle Los Angeles,"$211,819,354","$83,552,429",39.4%,"$128,266,925",60.6%,2011
815,816,Australia,"$211,787,511","$49,554,002",23.4%,"$162,233,509",76.6%,2008
816,817,Due Date,"$211,780,824","$100,539,043",47.5%,"$111,241,781",52.5%,2010
817,818,Master and Commander: The Far Side of the World,"$211,622,535","$93,927,920",44.4%,"$117,694,615",55.6%,2003
818,819,A Series of Unfortunate Events,"$211,468,235","$118,634,549",56.1%,"$92,833,686",43.9%,2004
819,820,The Little Mermaid,"$211,343,479","$111,543,479",52.8%,"$99,800,000",47.2%,1989
820,821,Nice View,"$211,019,042",-,-,"$211,019,042",100%,2022
821,822,District 9,"$210,888,950","$115,646,235",54.8%,"$95,242,715",45.2%,2009
822,823,Moonraker,"$210,308,099","$70,308,099",33.4%,"$140,000,000",66.6%,1979
823,824,The Others,"$209,947,037","$96,522,687",46%,"$113,424,350",54%,2001
824,825,Horrible Bosses,"$209,838,559","$117,538,559",56%,"$92,300,000",44%,2011
825,826,Us and Them,"$209,221,380",-,-,"$209,221,380",100%,2018
826,827,Red Dragon,"$209,196,298","$93,149,898",44.5%,"$116,046,400",55.5%,2002
827,828,Tomorrowland,"$209,035,668","$93,436,322",44.7%,"$115,599,346",55.3%,2015
828,829,Me Before You,"$208,314,186","$56,245,075",27%,"$152,069,111",73%,2016
829,830,Safe House,"$208,076,205","$126,373,434",60.7%,"$81,702,771",39.3%,2012
830,831,S.W.A.T.,"$207,725,639","$116,934,650",56.3%,"$90,790,989",43.7%,2003
831,832,The Fast and the Furious,"$207,517,509","$144,745,925",69.8%,"$62,771,584",30.2%,2001
832,833,Traffic,"$207,515,725","$124,115,725",59.8%,"$83,400,000",40.2%,2000
833,834,DC League of Super-Pets,"$207,357,117","$93,657,117",45.2%,"$113,700,000",54.8%,2022
834,835,Paranormal Activity 3,"$207,039,844","$104,028,807",50.2%,"$103,011,037",49.8%,2011
835,836,Philadelphia,"$206,678,440","$77,446,440",37.5%,"$129,232,000",62.5%,1993
836,837,The Conjuring: The Devil Made Me Do It,"$206,431,050","$65,631,050",31.8%,"$140,800,000",68.2%,2021
837,838,Sleepy Hollow,"$206,071,502","$101,071,502",49%,"$105,000,000",51%,1999
838,839,The Holiday,"$205,850,169","$63,224,849",30.7%,"$142,625,320",69.3%,2006
839,840,The Jungle Book,"$205,843,612","$141,843,612",68.9%,"$64,000,000",31.1%,1967
840,841,Raging Fire,"$205,842,393","$385,305",0.2%,"$205,457,088",99.8%,2021
841,842,London Has Fallen,"$205,754,447","$62,524,260",30.4%,"$143,230,187",69.6%,2016
842,843,The Break-Up,"$205,668,210","$118,703,275",57.7%,"$86,964,935",42.3%,2006
843,844,Journey to the West,"$205,637,183","$18,058",<0.1%,"$205,619,125",100%,2013
844,845,The Ugly Truth,"$205,599,393","$88,915,214",43.2%,"$116,684,179",56.8%,2009
845,846,JFK,"$205,405,498","$70,405,498",34.3%,"$135,000,000",65.7%,1991
846,847,Birds of Prey,"$205,372,791","$84,172,791",41%,"$121,200,000",59%,2020
847,848,White House Down,"$205,366,737","$73,103,784",35.6%,"$132,262,953",64.4%,2013
848,849,A Dog's Purpose,"$205,035,819","$64,508,620",31.5%,"$140,527,199",68.5%,2017
849,850,Ponyo,"$204,826,668","$15,743,471",7.7%,"$189,083,197",92.3%,2008
850,851,Fun with Dick and Jane,"$204,681,899","$110,332,737",53.9%,"$94,349,162",46.1%,2005
851,852,Eat Pray Love,"$204,594,016","$80,574,010",39.4%,"$124,020,006",60.6%,2010
